,Project,Connections,Group
0,1729,3,4
1,_slow_crypto - Fabrics of Reality,7,1
2,0xdaoApe,8,2
3,1Hive,20,2
4,1Hive Gardens,12,2
5,AcreDAOS,33,3
6,All for Climate,40,3
7,Alliance DAO,8,1
8,Angel Protocol,9,0
9,AntidoteDAO,39,3
10,Ants-review,22,4
11,Aquari,3,3
12,Artizen,17,4
13,Astral Protocol,19,3
14,Atoms,4,0
15,Avano,28,3
16,AYOWECCA,3,3
17,Basin DAO,30,3
18,Binance Academy,4,1
19,BioDAO,3,0
20,Blockchain for Climate foundation,35,3
21,Blood M1n3,20,3
22,Bloomeria,26,3
23,Boysclub Crypto,20,4
24,Brokoli,3,3
25,Buildspace,10,4
26,Cabin,14,4
27,Carbon Captors ,32,3
28,Carbon Collectible NFTs,2,0
29,Celo,38,1
30,Cheerbot,2,2
31,Cherubs DAO,30,0
32,Citizen DAO,68,0
33,Climate Finance DAO,33,3
34,ClimateDAO ,56,3
35,Clime DAO,2,4
36,Code4rena,2,0
37,Cohere,16,3
38,Coinbase Earn,25,1
39,CoinDesk,28,1
40,Coinmarketcap Earn,18,1
41,CoinTelegraph,25,1
42,Cool Points Club,6,3
43,Cosmos,22,1
44,Crypto Culture and Society,12,4
45,Curve Labs,24,2
46,DAOpunks,2,1
47,dClimate,21,3
48,Decent DAO,6,1
49,Decrypt,16,1
50,DeveloperDAO,39,4
51,Diatom DAO,17,3
52,DOER Money DAO,2,3
53,DoinGud,27,1
54,Dream DAO,18,3
55,Dropout DAO,11,4
56,Earthbanc,19,3
57,Earthcoin,10,3
58,EarthFund,46,3
59,Ecodao,28,3
60,Ecorise,18,3
61,Endaoment,23,1
62,ETH Puerto Rico DAO,5,2
63,ForeFront,19,4
64,Foresight Institute DAO,12,0
65,Future Foundation,24,3
66,Gaia,11,3
67,Gain Forest,5,3
68,Geo Web,24,2
69,Gitcoin,31,2
70,GitcoinDAO,65,2
71,Give Crypto,5,1
72,Give Safely,5,1
73,Giveth,53,2
74,Giving Block,25,1
75,Goldfinch,2,1
76,Grassroots Economics,13,2
77,Grow Your Own Cloud,6,4
78,HumanDAO,10,4
79,Impact,13,0
80,impactMarket,12,1
81,ixo,54,2
82,Kernel,29,4
83,Kleros,12,1
84,KlimaDAO,43,3
85,Kolektivo,29,2
86,Kumo Earth,4,3
87,LabDAO,10,0
88,Layer3,11,4
89,Leyline,7,1
90,LOA Labs,36,3
91,Longtail Financial,37,2
92,LYNX,6,0
93,Mercy Corps Ventures FinX,7,1
94,Meta Gamma Delta DAO ,18,4
95,Molecule,14,0
96,MOONJELLY,32,3
97,Nader Dabit,24,4
98,NFTree Haus,12,3
99,Nori,15,3
100,OCEAN Protocol,5,0
101,Odyssey,5,4
102,Open Earth Foundation,10,3
103,Open Forest Protocol,30,3
104,OpenAccessDAO,4,0
105,Opscientia.eth,24,0
106,Outlier Ventures,9,2
107,PactDAO,2,0
108,Panvala,16,2
109,Parcel.money,8,4
110,PizzaDAO,2,3
111,Planetary Resilience DAO,27,0
112,Popcorn,12,3
113,Pozzle Planet,32,4
114,PR1S0N Art,8,4
115,PrimeDAO,37,2
116,Project Ark,26,3
117,Project Galaxy,7,1
118,Proof of Humanity,11,2
119,Proof of Integrity,3,1
120,Protein Community,59,4
121,PsyDAO,6,0
122,Public Good School,4,4
123,Public Land Protocol,56,3
124,Quest Book,2,4
125,RabbitHole,23,4
126,Radicle,13,2
127,Rainforest Direct,5,3
128,ReFi DAO,43,3
129,Regen Network,55,3
130,ResearchHub DAO,5,0
131,Return Protocol,41,3
132,Ribon,4,0
133,Science Fund,5,0
134,Seed Club,36,4
135,Shamba,19,3
136,ShapeShift DAO,18,1
137,she256,20,4
138,Single Earth,6,3
139,Socialstack,7,1
140,Solid World DAO,65,3
141,SolidarityCard,6,2
142,Sovereign Nature,28,3
143,Station,8,4
144,Storc,5,1
145,SuperBenefit,3,3
146,Surge,18,4
147,TEC,31,2
148,The Commons Stack,38,2
149,The DAOist,33,2
150,The Eden Dao,47,3
151,Therapoid,4,1
152,Tip Party,15,2
153,Toucan,53,3
154,Treejer Protocol,24,3
155,TryCrypto,12,4
156,Two Plus,14,4
157,UltraSound Merch Supply Chain,3,1
158,UNICEF CryptoFund,6,1
159,Vibe Bio,4,0
160,VitaDAO,36,0
161,We3,3,4
162,Web3 University,4,4
163,web3baddies,14,4
164,WellnessDAO,5,4
